Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
02;Akershus;0217;Oppegård;;;RØDT;Rødt;0,6;19140;15;66;81;-0,5;-0,2;0;0;
02;Akershus;0217;Oppegård;;;SP;Senterpartiet;0,6;19140;19;61;80;-0,2;-0,6;0;0;
02;Akershus;0217;Oppegård;;;KRF;Kristelig Folkeparti;4,4;19140;108;500;608;-0,1;0,7;1;0;
02;Akershus;0217;Oppegård;;;V;Venstre;7,5;19140;133;903;1036;0,3;2,3;2;0;
02;Akershus;0217;Oppegård;;;H;Høyre;48,4;19140;1151;5510;6661;2,8;19,2;16;0;
02;Akershus;0217;Oppegård;;;FRP;Fremskrittspartiet;7,6;19140;224;826;1050;-5,3;-13,5;2;0;
02;Akershus;0217;Oppegård;;;MDG;Miljøpartiet De Grønne;0,9;19140;17;105;122;0,9;0,5;0;0;
02;Akershus;0219;Bærum;;;A;Det norske Arbeiderparti;21,1;84579;2905;9570;12475;1,6;-4,7;11;0;
02;Akershus;0219;Bærum;;;SV;Sosialistisk Venstreparti;3,4;84579;471;1527;1998;-2,3;-2,1;2;0;
02;Akershus;0219;Bærum;;;RØDT;Rødt;1,1;84579;151;511;662;-0,2;0,4;0;0;
02;Akershus;0219;Bærum;;;SP;Senterpartiet;0,8;84579;101;381;482;-0,4;-0,4;0;0;
02;Akershus;0219;Bærum;;;KRF;Kristelig Folkeparti;2,6;84579;336;1216;1552;-0,2;0,2;1;0;
02;Akershus;0219;Bærum;;;V;Venstre;9,1;84579;977;4403;5380;-1,8;1,7;5;0;
02;Akershus;0219;Bærum;;;H;Høyre;51,3;84579;6732;23564;30296;10,9;15,8;27;0;
02;Akershus;0219;Bærum;;;FRP;Fremskrittspartiet;7,8;84579;1127;3472;4599;-7,5;-12,7;4;0;
02;Akershus;0219;Bærum;;;MDG;Miljøpartiet De Grønne;1,2;84579;149;550;699;0,4;0,8;0;0;
02;Akershus;0219;Bærum;;;PP;Pensjonistpartiet;1,6;84579;274;680;954;0,1;1,2;1;0;
02;Akershus;0220;Asker;;;A;Det norske Arbeiderparti;20;41287;1429;4302;5731;-0,1;-6,7;10;0;
02;Akershus;0220;Asker;;;SV;Sosialistisk Venstreparti;2,9;41287;200;628;828;-1,6;-3,2;1;0;
02;Akershus;0220;Asker;;;RØDT;Rødt;0,9;41287;61;186;247;-0,2;0,2;0;0;
02;Akershus;0220;Asker;;;SP;Senterpartiet;1,1;41287;55;252;307;-0,1;-0,7;0;0;
02;Akershus;0220;Asker;;;KRF;Kristelig Folkeparti;2,7;41287;175;614;789;-0,5;-0,2;1;0;
02;Akershus;0220;Asker;;;V;Venstre;7,1;41287;357;1667;2024;-1,7;0;3;0;
02;Akershus;0220;Asker;;;H;Høyre;51,9;41287;3236;11665;14901;12,3;20,4;25;0;
02;Akershus;0220;Asker;;;FRP;Fremskrittspartiet;8;41287;622;1678;2300;-7,8;-14,2;4;0;
02;Akershus;0220;Asker;;;PP;Pensjonistpartiet;1,8;41287;182;346;528;0,5;1,4;1;0;
02;Akershus;0220;Asker;;;AGV;Askers Grønne Venner;3,6;41287;219;822;1041;-0,8;3,6;2;0;
02;Akershus;0221;Aurskog-Høland;;;A;Det norske Arbeiderparti;37,1;11429;424;2251;2675;4,1;-5,1;13;0;
02;Akershus;0221;Aurskog-Høland;;;SV;Sosialistisk Venstreparti;2,4;11429;26;148;174;-1;-0,9;1;0;
02;Akershus;0221;Aurskog-Høland;;;SP;Senterpartiet;12,8;11429;108;813;921;1;3,2;5;0;
02;Akershus;0221;Aurskog-Høland;;;KRF;Kristelig Folkeparti;7,8;11429;91;469;560;-2,2;2,4;3;0;
02;Akershus;0221;Aurskog-Høland;;;V;Venstre;1,7;11429;18;108;126;-2,1;-0,3;0;0;
02;Akershus;0221;Aurskog-Høland;;;H;Høyre;17,3;11429;165;1079;1244;11,7;7,2;6;0;
02;Akershus;0221;Aurskog-Høland;;;FRP;Fremskrittspartiet;20,9;11429;206;1300;1506;-11,5;-5,1;7;0;
02;Akershus;0226;Sørum;;;A;Det norske Arbeiderparti;40,3;11621;456;2677;3133;8,7;1,6;13;0;
02;Akershus;0226;Sørum;;;SV;Sosialistisk Venstreparti;3,7;11621;40;248;288;-1,7;-1,2;1;0;
02;Akershus;0226;Sørum;;;SP;Senterpartiet;7,7;11621;59;541;600;-2,8;0,5;2;0;
02;Akershus;0226;Sørum;;;KRF;Kristelig Folkeparti;4,1;11621;56;263;319;-0,2;-0,1;1;0;
02;Akershus;0226;Sørum;;;V;Venstre;3,6;11621;38;245;283;0,6;0,8;1;0;
02;Akershus;0226;Sørum;;;H;Høyre;28,7;11621;252;1980;2232;3,9;12;9;0;
02;Akershus;0226;Sørum;;;FRP;Fremskrittspartiet;11,8;11621;130;787;917;-8,6;-12,1;4;0;
02;Akershus;0227;Fet;;;A;Det norske Arbeiderparti;39,3;8002;286;1767;2053;-5,9;-0,5;11;0;
02;Akershus;0227;Fet;;;SV;Sosialistisk Venstreparti;3,4;8002;26;154;180;-0,8;-0,6;1;0;
02;Akershus;0227;Fet;;;SP;Senterpartiet;7,8;8002;59;347;406;-0,1;1,1;2;0;
02;Akershus;0227;Fet;;;V;Venstre;6,1;8002;24;296;320;3,2;2,8;2;0;
02;Akershus;0227;Fet;;;H;Høyre;25,4;8002;181;1148;1329;10,8;10,2;7;0;
02;Akershus;0227;Fet;;;FRP;Fremskrittspartiet;16;8002;118;717;835;-4,8;-10,2;4;0;
02;Akershus;0227;Fet;;;MDG;Miljøpartiet De Grønne;2;8002;19;84;103;2;1,6;0;0;
02;Akershus;0228;Rælingen;;;A;Det norske Arbeiderparti;54,7;12235;838;3257;4095;10,2;12;20;0;
02;Akershus;0228;Rælingen;;;SV;Sosialistisk Venstreparti;3;12235;45;176;221;-1,6;-2,1;1;0;
02;Akershus;0228;Rælingen;;;RØDT;Rødt;0,7;12235;8;41;49;-0,5;0;0;0;
02;Akershus;0228;Rælingen;;;SP;Senterpartiet;1,5;12235;22;92;114;-0,6;-0,4;0;0;
02;Akershus;0228;Rælingen;;;KRF;Kristelig Folkeparti;3,3;12235;55;193;248;-0,5;-0,1;1;0;
02;Akershus;0228;Rælingen;;;V;Venstre;3,5;12235;28;232;260;0,2;0,5;1;0;
02;Akershus;0228;Rælingen;;;H;Høyre;22,6;12235;304;1390;1694;6,2;6,2;8;0;
02;Akershus;0228;Rælingen;;;FRP;Fremskrittspartiet;10,7;12235;156;643;799;-8,7;-14,6;4;0;
02;Akershus;0229;Enebakk;;;A;Det norske Arbeiderparti;25,8;7739;220;1014;1234;2;-7,1;7;0;
02;Akershus;0229;Enebakk;;;SV;Sosialistisk Venstreparti;5,3;7739;35;221;256;-1,4;0,9;1;0;
